"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
1967-01-30,74.2,74.2,74,74,NA,74,120,525
1967-01-26,74.4,74.4,73.6,74.1,NA,74.1,175,505
1967-01-25,74,74.3,74,74,NA,74,95,480
1967-01-24,73.1,73.5,73.1,73.4,NA,73.4,45,425
1967-01-23,73.4,73.4,73.2,73.3,NA,73.3,45,435
1967-01-20,74,74.1,73.7,74,NA,74,75,415
1967-01-19,74.2,74.2,73.7,74.2,NA,74.2,40,385
1967-01-18,74,74.7,74,74.2,NA,74.2,90,410
1967-01-17,73.7,74.2,73.6,74,NA,74,170,340
1967-01-16,74.6,74.6,74,74.2,NA,74.2,20,260
1967-01-13,75.2,75.3,74.6,74.6,NA,74.6,30,260
1967-01-12,76.4,76.4,75.7,75.7,NA,75.7,40,235
1967-01-11,76.5,76.6,76.3,76.4,NA,76.4,5,245
1967-01-10,76,76.3,76,76.3,NA,76.3,10,245
1967-01-09,75.6,76,75.5,76,NA,76,15,245
1967-01-06,75.2,75.6,75.2,75.5,NA,75.5,0,245
1967-01-05,75,75,75,75,NA,75,30,245
1967-01-04,75.1,75.1,75,75.1,NA,75.1,40,225
1967-01-03,75.1,75.1,75.1,75.1,NA,75.1,35,215
1966-12-30,75.1,75.1,74.7,74.7,NA,74.7,40,200
1966-12-29,75.5,75.5,75.1,75.1,NA,75.1,50,175
1966-12-28,75.5,75.5,75,75,NA,75,15,125
1966-12-27,75.5,75.5,74.6,74.6,NA,74.6,0,115
1966-12-23,75.6,75.6,75.6,75.6,NA,75.6,45,115
1966-12-22,75.3,75.6,75.3,75.6,NA,75.6,0,85
1966-12-21,77.4,77.4,77.4,77.4,NA,77.4,0,85
1966-12-20,78,78.4,77.6,78.1,NA,78.1,205,11280
1966-12-19,78.3,78.5,77.7,78,NA,78,575,11330
1966-12-16,78,78.4,78,78.4,NA,78.4,635,11300
1966-12-15,77.7,78,77.3,77.7,NA,77.7,1235,11385
1966-12-14,78.6,78.6,77.6,78.1,NA,78.1,840,11265
1966-12-13,78.6,79,78.5,78.6,NA,78.6,875,11460
1966-12-12,78.3,78.6,78.2,78.5,NA,78.5,1025,11405
1966-12-09,78.7,78.7,78.2,78.5,NA,78.5,2060,11230
1966-12-08,79.2,79.5,78.6,78.7,NA,78.7,1545,11420
1966-12-07,79.5,79.6,79.2,79.2,NA,79.2,955,10645
1966-12-06,80,80.3,79.4,79.4,NA,79.4,705,10395
1966-12-05,79.5,79.6,79.4,79.4,NA,79.4,785,10270
1966-12-02,80,80.2,79.5,79.5,NA,79.5,910,10380
1966-12-01,79.4,80,79.2,79.7,NA,79.7,610,10320
1966-11-30,80,80,79.2,79.2,NA,79.2,455,10250
1966-11-29,80,80.1,79.6,80,NA,80,295,10265
1966-11-28,80,80.1,79.4,79.6,NA,79.6,420,10285
1966-11-25,80,80.4,79.6,79.6,NA,79.6,510,10290
1966-11-23,79.4,80.2,79.4,79.5,NA,79.5,365,10285
1966-11-22,79.6,80.1,79.4,79.7,NA,79.7,960,10250
1966-11-21,79.1,79.7,78.7,79.5,NA,79.5,210,10280
1966-11-18,79.2,79.4,79.1,79.2,NA,79.2,435,10255
1966-11-17,79,79.4,78.5,79.2,NA,79.2,805,10210
1966-11-16,80,80,78.5,79.1,NA,79.1,365,10250
1966-11-15,80.3,80.4,80,80,NA,80,765,10290
1966-11-14,80.2,80.7,80.1,80.4,NA,80.4,625,10235
1966-11-11,79.3,80.2,79.3,80.1,NA,80.1,400,10240
1966-11-10,79.3,79.6,79.2,79.6,NA,79.6,340,10240
1966-11-09,79.5,79.6,79.2,79.4,NA,79.4,620,10350
1966-11-07,79.4,79.7,79.1,79.4,NA,79.4,760,10370
1966-11-04,80.2,80.2,79.4,79.5,NA,79.5,1255,10535
1966-11-03,79.5,80.1,79.4,80.1,NA,80.1,1190,10670
1966-11-02,78.5,79.2,78.2,79.2,NA,79.2,760,10495
1966-11-01,79.7,80.1,78.6,78.6,NA,78.6,565,10410
1966-10-31,79,79.7,79,79.6,NA,79.6,315,10310
1966-10-28,78.6,79.1,78.4,79.1,NA,79.1,625,10270
1966-10-27,79.1,79.4,79,79,NA,79,1120,10120
1966-10-26,80,80,79.1,79.1,NA,79.1,810,9995
1966-10-25,77.7,78.7,77.7,78.7,NA,78.7,477,9865
1966-10-24,78.4,78.6,77.4,77.6,NA,77.6,445,9787
1966-10-21,78.5,78.6,78,78.4,NA,78.4,325,9757
1966-10-20,78,78.4,77.7,78.4,NA,78.4,570,9677
1966-10-19,77.6,78,77.2,77.7,NA,77.7,697,9512
1966-10-18,78.6,78.6,77.3,77.7,NA,77.7,837,9404
1966-10-17,77.7,79,77.7,78.6,NA,78.6,1155,9286
1966-10-14,76.6,78,76.4,77.7,NA,77.7,1695,9438
1966-10-13,77.5,77.7,76.2,76.6,NA,76.6,645,9951
1966-10-12,78.3,78.5,77.4,77.5,NA,77.5,700,9906
1966-10-11,78.7,79.2,78.6,78.7,NA,78.7,500,9706
1966-10-10,78.4,78.5,78.1,78.4,NA,78.4,390,9681
1966-10-07,78.2,78.2,77.6,78.1,NA,78.1,310,9671
1966-10-06,77.4,78.1,77.4,77.6,NA,77.6,545,9556
1966-10-05,77.1,78.1,76.5,77.7,NA,77.7,530,9461
1966-10-04,77.7,78,77,77.2,NA,77.2,180,9486
1966-10-03,78.5,78.5,78,78.1,NA,78.1,455,9471
1966-09-30,78.1,78.5,77.7,78.3,NA,78.3,435,9391
1966-09-29,77.2,78.1,76.6,77.5,NA,77.5,350,9291
1966-09-28,78,78,77.1,77.2,NA,77.2,735,9296
1966-09-27,78.6,79.1,78.1,78.1,NA,78.1,710,9081
1966-09-26,77.7,78.7,77,78.4,NA,78.4,707,8991
1966-09-23,77.2,77.6,77,77.4,NA,77.4,1757,8983
1966-09-22,77.3,78,75.4,76.5,NA,76.5,1160,8833
1966-09-21,79.4,79.4,77.4,78,NA,78,1865,15824
1966-09-20,79.6,80.7,79.4,79.7,NA,79.7,1945,15829
1966-09-19,81.3,81.3,79.6,80,NA,80,1055,15769
1966-09-16,81.4,81.5,80.7,81.4,NA,81.4,950,15799
1966-09-15,82.5,82.5,81.4,81.5,NA,81.5,920,15689
1966-09-14,82.2,82.5,82,82.5,NA,82.5,1105,15569
1966-09-13,80.7,82,80.6,82,NA,82,2200,15249
1966-09-12,81.4,81.4,80.5,80.6,NA,80.6,985,15269
1966-09-09,82,83,82,82.6,NA,82.6,835,15004
1966-09-08,82.7,83,81.7,82,NA,82,1990,15164
1966-09-07,82.6,83.5,82.5,82.6,NA,82.6,1945,14404
1966-09-06,82.1,82.5,81.7,82.4,NA,82.4,1030,13349
1966-09-02,82.2,82.2,81.4,82,NA,82,1440,13134
1966-09-01,81.1,82.3,81.1,81.6,NA,81.6,1005,12759
1966-08-31,81,81.3,80.5,80.6,NA,80.6,1392,12649
1966-08-30,81.4,82.1,80.3,80.7,NA,80.7,1665,12447
1966-08-29,81.7,82.4,81.2,81.3,NA,81.3,1410,11972
1966-08-26,83.2,83.2,82.2,82.3,NA,82.3,1055,12127
1966-08-25,84.7,85,83.4,83.6,NA,83.6,1129,12082
1966-08-24,84.6,85.4,84.2,85,NA,85,1945,12004
1966-08-23,85.3,86.1,84.6,84.6,NA,84.6,2260,11389
1966-08-22,85.2,85.6,84.6,85.2,NA,85.2,1495,10409
1966-08-19,84.2,85,83.4,84.7,NA,84.7,1752,10049
1966-08-18,84.4,84.6,83.2,84,NA,84,3499,9744
1966-08-17,84.3,85,83.6,84.4,NA,84.4,3059,8765
1966-08-16,83.2,84.4,83.2,84.3,NA,84.3,1657,7879
1966-08-15,80.5,82.6,80.2,82.6,NA,82.6,1130,7336
1966-08-12,80.5,81,80.3,80.4,NA,80.4,2042,6826
1966-08-11,79.4,81.2,79.2,80.5,NA,80.5,415,6284
1966-08-10,77.7,78.3,77.6,78.1,NA,78.1,455,6139
1966-08-09,77.7,78.3,77.5,78.1,NA,78.1,565,5929
1966-08-08,78.2,78.3,77.7,77.7,NA,77.7,355,5729
1966-08-05,78,78.4,78,78.2,NA,78.2,420,5529
1966-08-04,78,78.2,77.7,78,NA,78,502,5354
1966-08-03,78.4,78.6,78.1,78.2,NA,78.2,547,5306
1966-08-02,77.2,78.4,77.1,78.3,NA,78.3,412,5229
1966-08-01,78.1,79.4,77.6,77.6,NA,77.6,385,5207
1966-07-29,77,77.5,76.7,77.5,NA,77.5,465,5022
1966-07-28,77.1,77.7,76.7,77.3,NA,77.3,775,4862
1966-07-27,77,77,76,76.7,NA,76.7,573,4652
1966-07-26,78.7,79.6,77,77.3,NA,77.3,765,4449
1966-07-25,77.4,78.7,77.4,78.3,NA,78.3,882,4124
1966-07-22,78.2,78.4,77,77,NA,77,630,3604
1966-07-21,80.4,80.4,77.1,78.4,NA,78.4,610,3504
1966-07-20,78.4,79,78.2,78.3,NA,78.3,1387,7889
1966-07-19,78.7,79.1,78.1,78.6,NA,78.6,1586,7352
1966-07-18,77.2,78.6,77.2,78.1,NA,78.1,712,6770
1966-07-15,77.6,77.7,77,77.1,NA,77.1,628,6782
1966-07-14,78.1,78.2,77.6,77.6,NA,77.6,817,6632
1966-07-13,78.7,79,77.6,78.1,NA,78.1,1766,6667
1966-07-12,78,79,77.7,78.4,NA,78.4,1408,6420
1966-07-11,77.1,77.5,76.3,77.2,NA,77.2,1014,6321
1966-07-08,75.3,76.4,75,75.7,NA,75.7,995,6140
1966-07-07,77.1,77.3,75.3,75.4,NA,75.4,1137,6175
1966-07-06,77.4,77.6,76.6,77,NA,77,819,6015
1966-07-05,77.6,78.4,77.6,78,NA,78,1187,5675
1966-07-01,77.6,78,76.6,77.3,NA,77.3,1792,5460
1966-06-30,78.4,79.5,78.1,78.3,NA,78.3,1588,5103
1966-06-29,76,78.3,75.4,78.3,NA,78.3,1087,5016
1966-06-28,77.5,77.5,76.4,76.5,NA,76.5,1417,4856
